Comune	Pop.residente(01/01/2019)	Dens.demografica(ab/kmq)
Cusino	223.00	22.39
Cusio	238.00	25.30
Cuveglio	3354.00	448.39
Cuvio	1671.00	276.89
Dairago	6441.00	1139.11
Dalmine	23610.00	1989.75
Darfo Boario Terme	15691.00	432.33
Daverio	3053.00	759.25
Dazio	448.00	118.37
Delebio	3282.00	145.07
Dello	5622.00	240.17
Derovere	306.00	30.33
Dervio	2592.00	224.61
Desenzano del Garda	29158.00	489.04
Desio	41942.00	2851.46
Dizzasco	619.00	172.39
Dolzago	2549.00	1113.82
Domaso	1479.00	237.37
Dongo	3356.00	479.84
Dorio	316.00	27.37
Dorno	4632.00	152.81
Dosolo	3413.00	133.65
Dossena	908.00	46.99
Dosso del Liro	252.00	11.15
Dovera	3825.00	185.98
Dresano	3043.00	875.83
Dubino	3686.00	280.61
Dumenza	1485.00	80.66
Duno	128.00	50.18
Edolo	4525.00	51.34
Ello	1219.00	498.97
Endine Gaiano	3435.00	164.22
Entratico	1999.00	477.44
Erba	16323.00	918.21
Erbusco	8694.00	531.47
Erve	704.00	114.98
Esine	5225.00	173.19
Esino Lario	766.00	41.27
Eupilio	2592.00	376.24
Faedo Valtellino	557.00	115.86
Faggeto Lario	1207.00	69.22
Fagnano Olona	12498.00	1441.08
Faloppio	4763.00	1145.62
Fara Gera d'Adda	8024.00	742.80
Fara Olivana con Sola	1293.00	256.30
Fenegro'	3231.00	603.73
Ferno	6796.00	791.18
Ferrera di Varese	709.00	460.68
Ferrera Erbognone	1109.00	58.73
Fiesco	1200.00	145.47
Fiesse	2055.00	127.44
Figino Serenza	5148.00	1043.38
Filago	3132.00	586.76
Filighera	825.00	100.02
Fino del Monte	1130.00	266.32
Fino Mornasco	9860.00	1362.57
Fiorano al Serio	2987.00	2845.28
Flero	8921.00	902.61
Fombio	2317.00	314.32
Fontanella	4492.00	250.83
Fonteno	587.00	53.34
Foppolo	186.00	11.46
Forcola	797.00	50.07
Foresto Sparso	3119.00	397.76
Formigara	1047.00	81.55
Fornovo San Giovanni	3436.00	487.58
Fortunago	360.00	20.65
Frascarolo	1177.00	49.56
Fuipiano Valle Imagna	210.00	49.30
Fusine	582.00	15.29
Gabbioneta Binanuova	870.00	54.63
Gadesco Pieve Delmona	1954.00	117.07
Gaggiano	9164.00	348.34
Galbiate	8513.00	546.18
Galgagnano	1283.00	210.11
